Title,URL,TextFile,Status,Reason
Fellowship Award Specification,http://www.undesa.it/wp-content/uploads/2025/11/4365.pdf,www_undesa_it_Fellowship_Award_Specification.txt,failed,"[FETCH ERROR] HTTPConnectionPool(host='www.undesa.it', port=80): Max retries exceeded with url: /wp-content/uploads/2025/11/4365.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002E215AE6430>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Promoting Nature-based Solutions and Sustainable ...,https://unece.org/sites/default/files/2025-11/NbS%202515391E_WEB.pdf,unece_org_Promoting_Nature_based_Solutions_and_Sustainable_.txt,failed,[BLOCKED_403] https://unece.org/sites/default/files/2025-11/NbS%202515391E_WEB.pdf
HEALTHY ENVIRONMENTS FOR HEALTHY CHILDREN,https://www.unicef.org/media/91216/file/Healthy-Environments-for-Healthy-Children-Global-Programme-Framework-2021.pdf,www_unicef_org_HEALTHY_ENVIRONMENTS_FOR_HEALTHY_CHILDREN.txt,failed,[BLOCKED_403] https://www.unicef.org/media/91216/file/Healthy-Environments-for-Healthy-Children-Global-Programme-Framework-2021.pdf
KENYA ARTIFICIAL INTELLIGENCE STRATEGY 2025-2030,https://ict.go.ke/sites/default/files/2025-03/Kenya%20AI%20Strategy%202025%20-%202030.pdf,ict_go_ke_KENYA_ARTIFICIAL_INTELLIGENCE_STRATEGY_2025_2030.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='ict.go.ke', port=443): Max retries exceeded with url: /sites/default/files/2025-03/Kenya%20AI%20Strategy%202025%20-%202030.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1135)')))"
Second Party Opinions,https://www.spglobal.com/ratings/en/products/second-party-opinions,www_spglobal_com_Second_Party_Opinions.txt,failed,[BLOCKED_403] https://www.spglobal.com/ratings/en/products/second-party-opinions
ken_pub_KENIA STRATEGIC PLAN 2023-2027 FINAL.pdf,https://www.innovationagency.go.ke/storage/pub-docs/ken_pub_KENIA%20STRATEGIC%20PLAN%202023-2027%20FINAL.pdf,www_innovationagency_go_ke_ken_pub_KENIA_STRATEGIC_PLAN_2023_2027_FINAL_pdf.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.innovationagency.go.ke', port=443): Max retries exceeded with url: /storage/pub-docs/ken_pub_KENIA%20STRATEGIC%20PLAN%202023-2027%20FINAL.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E24E0CAFD0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host "
2022 GLOBAL REVIEW,https://www.oneplanetnetwork.org/sites/default/files/from-crm/UNEP_2022_%2520SPP_Global_Review_Part_1_0.pdf,www_oneplanetnetwork_org_2022_GLOBAL_REVIEW.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/sites/default/files/from-crm/UNEP_2022_%2520SPP_Global_Review_Part_1_0.pdf
Global Strategy for Sustainable Consumption and ...,https://www.oneplanetnetwork.org/sites/default/files/from-crm/Global%2520Strategy%2520for%2520SCP_approved%252019th%2520October%25202022_Approved_Unedited_0.pdf,www_oneplanetnetwork_org_Global_Strategy_for_Sustainable_Consumption_and_.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/sites/default/files/from-crm/Global%2520Strategy%2520for%2520SCP_approved%252019th%2520October%25202022_Approved_Unedited_0.pdf
The United Nations Environmental Program Efforts in ...,https://rsisinternational.org/journals/ijriss/articles/the-united-nations-environmental-program-efforts-in-the-implementation-of-multilateral-environmental-agreements-in-nairobi-city-county-kenya-1992-2022/,rsisinternational_org_The_United_Nations_Environmental_Program_Efforts_i.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='rsisinternational.org', port=443): Max retries exceeded with url: /journals/ijriss/articles/the-united-nations-environmental-program-efforts-in-the-implementation-of-multilateral-environmental-agreements-in-nairobi-city-county-kenya-1992-2022/ (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E24B1E3940>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not"
Medium-Term Strategy 2022—2025 | Global Seaweed,https://globalseaweed.org/wp-content/uploads/2024/12/freecompress-UNEP-Medium-Term-Strategy-2022-2025.pdf,globalseaweed_org_Medium_Term_Strategy_2022_2025_Global_Seaweed.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='globalseaweed.org', port=443): Max retries exceeded with url: /wp-content/uploads/2024/12/freecompress-UNEP-Medium-Term-Strategy-2022-2025.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E25003AEB0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has"
