Title,URL,TextFile,Status,Reason
National Policy Guiding Principles for Forest Landscape ...,https://unece.org/sites/default/files/2023-03/NPGP-general-version2022%20_0.pdf,unece_org_National_Policy_Guiding_Principles_for_Forest_Land.txt,failed,[BLOCKED_403] https://unece.org/sites/default/files/2023-03/NPGP-general-version2022%20_0.pdf
"Food Systems, Land Use and Restoration (FOLUR) Impact ...",https://www.thegef.org/sites/default/files/web-documents/10201_IP_FOLUR_PFD.pdf,www_thegef_org_Food_Systems_Land_Use_and_Restoration_FOLUR_Impact.txt,failed,"[PDF ERROR] Invalid Elementary Object starting with b'W' @5850228: b'}co>\xfe\x1e\x98\xd9\xee\x18I""\xdb\x85\xce\x7f\t\xaf\x96,Wn\x1d\xb6\x95l 9\xa5\xbf\xb4\x1eOo\xef\x7f\xfa\x00\x90\xa2d\xbb\xf32\xe9\xd3\xb0TU\x12\t\x82`\xb8\x84\xc7\x1d\x945\xb5\x94z\xdc\x81-\xc6n\x987\xcd5n\xcd\xe6\xedPw\xd8\xb19'"
Case of Ghana - CGSpace,https://cgspace.cgiar.org/bitstreams/5ab5efe2-307d-41bd-aab1-4b78402006af/download,cgspace_cgiar_org_Case_of_Ghana_CGSpace.txt,failed,[BLOCKED_429] https://cgspace.cgiar.org/bitstreams/5ab5efe2-307d-41bd-aab1-4b78402006af/download
WPB 2025-2026 Compendium of Business Plans,https://gggi.org/wp-content/uploads/2024/09/Compendium-of-Business-Plans.pdf,gggi_org_WPB_2025_2026_Compendium_of_Business_Plans.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='gggi.org', port=443): Read timed out. (read timeout=25)"
Ghana,https://afr100.org/country/ghana,afr100_org_Ghana.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='afr100.org', port=443): Read timed out. (read timeout=25)"
AFRICAN UNION CLIMATE CHANGE AND RESILIENT ...,https://au.int/sites/default/files/documents/41959-doc-CC_Strategy_and_Action_Plan_2022-2032_08_02_23_Single_Print_Ready.pdf,au_int_AFRICAN_UNION_CLIMATE_CHANGE_AND_RESILIENT_.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2022 GLOBAL REVIEW,https://www.oneplanetnetwork.org/sites/default/files/from-crm/UNEP_2022_%2520SPP_Global_Review_Part_1_0.pdf,www_oneplanetnetwork_org_2022_GLOBAL_REVIEW.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/sites/default/files/from-crm/UNEP_2022_%2520SPP_Global_Review_Part_1_0.pdf
United Nations Environment Programme (UNEP),https://www.mopan.org/content/dam/mopan/en/publications/our-work/evidence/unep/unep-2021/mopan-unep-assessment-report-2021.pdf,www_mopan_org_United_Nations_Environment_Programme_UNEP_.txt,failed,[BLOCKED_403] https://www.mopan.org/content/dam/mopan/en/publications/our-work/evidence/unep/unep-2021/mopan-unep-assessment-report-2021.pdf
Biodiversity Framework Database - Global Seaweed,https://globalseaweed.org/?page_id=5164,globalseaweed_org_Biodiversity_Framework_Database_Global_Seaweed.txt,failed,[BLOCKED_403] https://globalseaweed.org/?page_id=5164
Caribbean Community (CARICOM) strategy for the ...,https://canari.org/wp-content/uploads/2018/11/draft-caricom-biodiversity-strategy-15.11.18.pdf,canari_org_Caribbean_Community_CARICOM_strategy_for_the_.txt,failed,[BLOCKED_429] https://canari.org/wp-content/uploads/2018/11/draft-caricom-biodiversity-strategy-15.11.18.pdf
Bioeconomy in Brazil: Opportunities and guidelines for ...,https://scijournals.onlinelibrary.wiley.com/doi/10.1002/bbb.2263,scijournals_onlinelibrary_wiley_com_Bioeconomy_in_Brazil_Opportunities_and_guidelines_.txt,failed,[BLOCKED_403] https://scijournals.onlinelibrary.wiley.com/doi/10.1002/bbb.2263
The African Energy Transition Strategy and Action Plan,https://au-afrec.org/sites/default/files/2025-09/ETSAP%20Report%20publication.pdf,au-afrec_org_The_African_Energy_Transition_Strategy_and_Action_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='au-afrec.org', port=443): Read timed out."
CARIBBEAN SUSTAINABLE TOURISM POLICY AND ...,https://www.onecaribbean.org/wp-content/uploads/2020-CSTPF-Final-for-Design-and-Translation-July-31-2020.pdf,www_onecaribbean_org_CARIBBEAN_SUSTAINABLE_TOURISM_POLICY_AND_.txt,failed,[BLOCKED_403] https://www.onecaribbean.org/wp-content/uploads/2020-CSTPF-Final-for-Design-and-Translation-July-31-2020.pdf
The State of World Fisheries and Aquaculture 2018 (SOFIA),https://openknowledge.fao.org/server/api/core/bitstreams/6fb91ab9-6cb2-4d43-8a34-a680f65e82bd/content,openknowledge_fao_org_The_State_of_World_Fisheries_and_Aquaculture_2018_.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Canada's 2030 Nature Strategy: Halting and Reversing ...,https://www.canada.ca/en/environment-climate-change/services/biodiversity/canada-2030-nature-strategy.html,www_canada_ca_Canada_s_2030_Nature_Strategy_Halting_and_Reversin.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.canada.ca', port=443): Read timed out. (read timeout=25)"
Brazil Agriculture and LULUCF Inventory Needs Assessment ...,https://cgspace.cgiar.org/bitstreams/50eb21ea-1170-4c9b-95bc-a3de885dea84/download,cgspace_cgiar_org_Brazil_Agriculture_and_LULUCF_Inventory_Needs_Asse.txt,failed,[BLOCKED_429] https://cgspace.cgiar.org/bitstreams/50eb21ea-1170-4c9b-95bc-a3de885dea84/download
Building Synergies Between Biodiversity and Climate,https://nbsapaccelerator.org/wp-content/uploads/2025/07/Summary_Insights_NBSAP_NDC_Synergies_2025.pdf,nbsapaccelerator_org_Building_Synergies_Between_Biodiversity_and_Climat.txt,failed,[BLOCKED_403] https://nbsapaccelerator.org/wp-content/uploads/2025/07/Summary_Insights_NBSAP_NDC_Synergies_2025.pdf
TOWARD ENHANCED CLIMATE AMBITION - IADB Publications,https://publications.iadb.org/publications/english/document/Toward-Enhanced-Climate-Ambition-Transparency-and-Digital-Governance-in-Latin-America-and-the-Caribbean.pdf,publications_iadb_org_TOWARD_ENHANCED_CLIMATE_AMBITION_IADB_Publications.txt,failed,[BLOCKED_403] https://publications.iadb.org/publications/english/document/Toward-Enhanced-Climate-Ambition-Transparency-and-Digital-Governance-in-Latin-America-and-the-Caribbean.pdf
Unravelling Brazil's approach,https://www.research.unipd.it/retrieve/ac85afd6-b84d-4b9d-86a1-4c0f99e0cf0b/Padovezi%20et%20al_Brazil_policy%20gaps_LUP_2025.pdf,www_research_unipd_it_Unravelling_Brazil_s_approach.txt,failed,[BLOCKED_403] https://www.research.unipd.it/retrieve/ac85afd6-b84d-4b9d-86a1-4c0f99e0cf0b/Padovezi%20et%20al_Brazil_policy%20gaps_LUP_2025.pdf
